publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
Rethinking corporate governance : the forming of operative and financial strategies in global corporations /		9781781951439 (e-book)							https://www.elgaronline.com/view/9781781951422.xml|https://doi.org/10.4337/9781781951439			"Sjöstrand, Sven-Erik,"	eep9781781951439		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
How to get published in the best management journals		9781784714680 (e-book)							https://www.elgaronline.com/view/9781784714673.xml|https://doi.org/10.4337/9781784714680				eep9781784714680		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Emerging Asian economies and MNCs strategies		9781785364068 (e-book)							https://www.elgaronline.com/view/9781785364051.xml|https://doi.org/10.4337/9781785364068				eep9781785364068		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Entrepreneurship, innovation and regional development		9781785365553 (e-book)							https://www.elgaronline.com/view/9781785365546.xml|https://doi.org/10.4337/9781785365553				eep9781785365553		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Institutional case studies on necessity entrepreneurship		9781783472338 (e-book)							https://www.elgaronline.com/view/9781783472321.xml|https://doi.org/10.4337/9781783472338				eep9781783472338		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Research handbook of employment relations in sport		9781783470464 (e-book)							https://www.elgaronline.com/view/9781783470457.xml|https://doi.org/10.4337/9781783470464				eep9781783470464		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Fast growing firms in a slow growth economy : institutional conditions for innovation /		9781785367113 (e-book)							https://www.elgaronline.com/view/9781785367106.xml|https://doi.org/10.4337/9781785367113				eep9781785367113		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Entrepreneurial process and social networks : a dynamic perspective /		9781785364884 (e-book)							https://www.elgaronline.com/view/9781785364877.xml|https://doi.org/10.4337/9781785364884				eep9781785364884		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Managing virtual teams		9781785369278 (e-book)							https://www.elgaronline.com/view/9781785369261.xml|https://doi.org/10.4337/9781785369278			Ivanaj, Silvester.	eep9781785369278		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
A research agenda for management and organization studies		9781784717025 (e-book)							https://www.elgaronline.com/view/9781784717018.xml|https://doi.org/10.4337/9781784717025				eep9781784717025		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of qualitative research methods on human resource management : innovative techniques /		9781784711184 (e-book)							https://www.elgaronline.com/view/9781784711177.xml|https://doi.org/10.4337/9781784711184				eep9781784711184		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
The challenges of capitalism for virtue ethics and the common good : interdisciplinary perspectives /		9781784717919 (e-book)							https://www.elgaronline.com/view/9781784717902.xml|https://doi.org/10.4337/9781784717919				eep9781784717919		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Academic spin-offs and technology transfer in Europe : best practices and breakthrough models /		9781784717384 (e-book)							https://www.elgaronline.com/view/9781784717377.xml|https://doi.org/10.4337/9781784717384				eep9781784717384		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Research handbook on digital transformations		9781784717766 (e-book)							https://www.elgaronline.com/view/9781784717759.xml|https://doi.org/10.4337/9781784717766				eep9781784717766		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Research handbook on gender and innovation		9781783478132 (e-book)							https://www.elgaronline.com/view/9781783478118.xml|https://doi.org/10.4337/9781783478132				eep9781783478132		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
A research agenda for entrepreneurship and context		9781784716844 (e-book)							https://www.elgaronline.com/view/9781784716837.xml|https://doi.org/10.4337/9781784716844				eep9781784716844		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
International perspectives on business innovation and disruption in design		9781784716646 (e-book)							https://www.elgaronline.com/view/9781784716639.xml|https://doi.org/10.4337/9781784716646				eep9781784716646		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Reputation risk and globalisation : exploring the idea of a self-regulating corporation /		9781786431745 (e-book)							https://www.elgaronline.com/view/9781845423032.xml|https://doi.org/10.4337/9781786431745			O'Callaghan, Terry,	eep9781786431745		fulltext		Edward Elgar Publishing Limited,	Monograph		2016						P					
Urban strategies for culture-driven growth : co-creating a European capital of culture /		9781783479382 (e-book)							https://www.elgaronline.com/view/9781783479375.xml|https://doi.org/10.4337/9781783479382				eep9781783479382		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of research on business angels		9781783471720 (e-book)							https://www.elgaronline.com/view/9781783471713.xml|https://doi.org/10.4337/9781783471720				eep9781783471720		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of employee commitment		9781784711740 (e-book)							https://www.elgaronline.com/view/9781784711733.xml|https://doi.org/10.4337/9781784711740				eep9781784711740		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Research handbook of international and comparative perspectives on diversity management		9781784719692 (e-book)							https://www.elgaronline.com/view/9781784719685.xml|https://doi.org/10.4337/9781784719692				eep9781784719692		fulltext		Edward Elgar Publishing Limited,	Monograph		2016						P					
The social enterprise zoo : a guide for perplexed scholars, entrepreneurs, philanthropists, leaders, investors and policymakers /		9781784716066 (e-book)							https://www.elgaronline.com/view/9781784716059.xml|https://doi.org/10.4337/9781784716066				eep9781784716066		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Corporate governance, the firm and investor capitalism : legal-political and economic views /		9781785364020 (e-book)							https://www.elgaronline.com/view/9781785364013.xml|https://doi.org/10.4337/9781785364020			Styhre, Alexander.	eep9781785364020		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Women's entrepreneurship in global and local contexts		9781784717421 (e-book)							https://www.elgaronline.com/view/9781784717414.xml|https://doi.org/10.4337/9781784717421				eep9781784717421		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Annals of entrepreneurship education and pedagogy - 2016		9781784719166 (e-book)							https://www.elgaronline.com/view/9781784719159.xml|https://doi.org/10.4337/9781784719166				eep9781784719166		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
A guide to discursive organizational psychology		9780857939296 (e-book)							https://www.elgaronline.com/view/9780857939289.xml|https://doi.org/10.4337/9780857939296				eep9780857939296		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Entrepreneurship, universities & resources : frontiers in European entrepreneurship research /		9781786432544 (e-book)							https://www.elgaronline.com/view/9781786432537.xml|https://doi.org/10.4337/9781786432544				eep9781786432544		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Marketing rural tourism : experience and enterprise /		9781784710880 (e-book)							https://www.elgaronline.com/view/9781784710873.xml|https://doi.org/10.4337/9781784710880			Saxena, Gunjan.	eep9781784710880		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Research handbook on corporate social responsibility in context		9781783474806 (e-book)							https://www.elgaronline.com/view/9781783474790.xml|https://doi.org/10.4337/9781783474806				eep9781783474806		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Decision making in entrepreneurship : selected joint papers of Dean A. Shepherd /		9781784716042 (e-book)							https://www.elgaronline.com/view/9781784716035.xml|https://doi.org/10.4337/9781784716042			Shepherd, Dean A.	eep9781784716042		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of human resource management in the Middle East		9781784719524 (e-book)							https://www.elgaronline.com/view/9781784719517.xml|https://doi.org/10.4337/9781784719524				eep9781784719524		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of research on corporate entrepreneurship		9781785368738 (e-book)							https://www.elgaronline.com/view/9781785368721.xml|https://doi.org/10.4337/9781785368738				eep9781785368738		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Visual branding : a rhetorical and historical analysis /		9781785365423 (e-book)							https://www.elgaronline.com/view/9781785365416/9781785365416.xml|https://doi.org/10.4337/9781785365423			McQuarrie, Edward F.	eep9781785365423		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of social capital and regional development		9781783476831 (e-book)							https://www.elgaronline.com/view/9781783476824.xml|https://doi.org/10.4337/9781783476831				eep9781783476831		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Business and government		9781785368325 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781783473052/9781783473052.xml|https://doi.org/10.4337/9781785368325				eep9781785368325		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Income distribution : an Edward Elgar Research Review /		9781785360831 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781840643329/9781840643329.xml|https://doi.org/10.4337/9781785360831			Sattinger, Michael.	eep9781785360831		fulltext		Edward Elgar Publishing Limited,	Monograph		2016						P					
Handbook on the economics of retailing and distribution		9781783477388 (e-book)							https://www.elgaronline.com/view/9781783477371.xml|https://doi.org/10.4337/9781783477388				eep9781783477388		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Cooperatives, economic democratization and rural development		9781784719388 (e-book)							https://www.elgaronline.com/view/9781784719371.xml|https://doi.org/10.4337/9781784719388				eep9781784719388		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Recent developments in the economics of advertising : an Edward Elgar Research Review /		9781785363658 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781783478873/9781783478873.xml|https://doi.org/10.4337/9781785363658				eep9781785363658		fulltext		Edward Elgar Publishing,	Monograph		2016						P					
Connecting Asia : infrastructure for integrating south and southeast Asia /		9781785363481 (e-book)							https://www.elgaronline.com/view/9781785363474.xml|https://doi.org/10.4337/9781785363481				eep9781785363481		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Measuring the global shadow economy : the prevalence of informal work and labour /		9781784717995 (e-book)							https://www.elgaronline.com/view/9781784717988.xml|https://doi.org/10.4337/9781784717995				eep9781784717995		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Multi-level finance and the Euro crisis : causes and effects /		9781784715113 (e-book)							https://www.elgaronline.com/view/9781784715106.xml|https://doi.org/10.4337/9781784715113				eep9781784715113		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
