publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
Management education and humanities		9781845429928 (e-book)							https://www.elgaronline.com/view/1845424751.xml|https://doi.org/10.4337/9781845429928				eep9781845429928		fulltext		Edward Elgar,	Monograph		2006						P					
Extending the eclectic paradigm in international business : essays in honor of John Dunning /		9781781950289 (e-book)							https://www.elgaronline.com/view/1840648880.xml|https://doi.org/10.4337/9781781950289				eep9781781950289		fulltext		Edward Elgar,	Monograph		2003						P					
Global capitalism, FDI and competitiveness : the selected essays of John H. Dunning. Volume II /		9781843767060 (e-book)							https://www.elgaronline.com/view/1840647426.xml|https://doi.org/10.4337/9781843767060			Dunning, John H.	eep9781843767060		fulltext		Edward Elgar,	Monograph		2002	v. 2					P					
Entrepreneurship and the internationalisation of Asian firms : an institutional perspective /		9781843765516 (e-book)							https://www.elgaronline.com/view/1840647345.xml|https://doi.org/10.4337/9781843765516			Yeung, Henry Wai-Chung.	eep9781843765516		fulltext		Edward Elgar Pub.,	Monograph		2002						P					
Cross-national appropriation of work systems : Japanese firms in the UK /		9781781951118 (e-book)							https://www.elgaronline.com/view/1843761122.xml|https://doi.org/10.4337/9781781951118			Saka, Ayse,	eep9781781951118		fulltext		Edward Elgar,	Monograph		2003						P					
Internet entrepreneurship in Europe : venture failure and the timing of telecommunications reform /		9781781951330 (e-book)							https://www.elgaronline.com/view/1843761351.xml|https://doi.org/10.4337/9781781951330			Waesche, Niko Marcel,	eep9781781951330		fulltext		Edward Elgar,	Monograph		2003						P					
The trust process in organizations : empirical studies of the determinants and the process of trust development /		9781843767350 (e-book)							https://www.elgaronline.com/view/9781843760788.xml|https://doi.org/10.4337/9781843767350				eep9781843767350		fulltext		Edward Elgar,	Monograph		2003						P					
Contingent employment in Europe and the United States		9781781008126 (e-book)							https://www.elgaronline.com/view/1843760339.xml|https://doi.org/10.4337/9781781008126				eep9781781008126		fulltext		E. Elgar,	Monograph		2003						P					
The moral capital of leaders : why virtue matters /		9781781008812 (e-book)							https://www.elgaronline.com/view/1843760460.xml|https://doi.org/10.4337/9781781008812			Sison, Alejo G.	eep9781781008812		fulltext		E. Elgar Pub.,	Monograph		2003						P					
The evolution of large corporations in Korea : a new institutional economics perspective of the chaebol /		9781781950470 (e-book)							https://www.elgaronline.com/view/184064883X.xml|https://doi.org/10.4337/9781781950470			"Chwa, Sŭng-hŭi."	eep9781781950470		fulltext		E. Elgar,	Monograph		2002						P					
Emerging issues in international business research		1843763494 (e-book)9781843763499 (e-book)							https://www.elgaronline.com/view/1840648368.xml|https://doi.org/10.4337/9781843763499				eep9781843763499		fulltext		Edward Elgar,	Monograph		2002						P					
Human nature and organization theory : on the economic approach to institutional organization /		9781781951347 (e-book)							https://www.elgaronline.com/view/1840647140.xml|https://doi.org/10.4337/9781781951347			Wagner-Tsukamoto, Sigmund.	eep9781781951347		fulltext		Edward Elgar,	Monograph		2003						P					
Trading services in the global economy		9781781009932 (e-book)							https://www.elgaronline.com/view/1840646101.xml|https://doi.org/10.4337/9781781009932				eep9781781009932		fulltext		E. Elgar,	Monograph		2002						P					
Alliance capitalism and corporate management : entrepreneurial cooperation in knowledge based economies /		9781843767077 (e-book)							https://www.elgaronline.com/view/9781840648393.xml|https://doi.org/10.4337/9781843767077				eep9781843767077		fulltext		Edward Elgar Pub.,	Monograph		2003						P					
Employment of women in Chinese cultures : half the sky /		9781845428068 (e-book)							https://www.elgaronline.com/view/9781845422936.xml|https://doi.org/10.4337/9781845428068				eep9781845428068		fulltext		Edward Elgar,	Monograph		2005						P					
Handbook on women in business and management		9781847204134 (e-book)							https://www.elgaronline.com/view/9781845424329.xml|https://doi.org/10.4337/9781847204134				eep9781847204134		fulltext		Edward Elgar,	Monograph		2007						P					
Handbook of research on entrepreneurship policy		9781847206794 (e-book)							https://www.elgaronline.com/view/9781845424091.xml|https://doi.org/10.4337/9781847206794				eep9781847206794		fulltext		Edward Elgar,	Monograph		2007						P					
Identity and strategy : how individual visions enable the design of a market strategy that works /		9781847200174 (e-book)							https://www.elgaronline.com/view/9781845423100.xml|https://doi.org/10.4337/9781847200174			Rughase, Olaf G.,	eep9781847200174		fulltext		Edward Elgar Pub.,	Monograph		2006						P					
Handbook of research on techno-entrepreneurship		9781847205551 (e-book)							https://www.elgaronline.com/view/9781845422868.xml|https://doi.org/10.4337/9781847205551				eep9781847205551		fulltext		Edward Elgar,	Monograph		2007						P					
Innovation and the growth of cities		9781843766933 (e-book)							https://www.elgaronline.com/view/9781840649369.xml|https://doi.org/10.4337/9781843766933			"Ács, Zoltán J."	eep9781843766933		fulltext		Edward Elgar,	Monograph		2002						P					
International handbook of women and small business entrepreneurship		9781845425586 (e-book)							https://www.elgaronline.com/view/9781843760122.xml|https://doi.org/10.4337/9781845425586				eep9781845425586		fulltext		Edward Elgar Pub.,	Monograph		2005						P					
Inventing leadership : the challenge of democracy /		9781847207241 (e-book)							https://www.elgaronline.com/view/9781840649550.xml|https://doi.org/10.4337/9781847207241			Wren, J. Thomas,	eep9781847207241		fulltext		Edward Elgar,	Monograph		2007						P					
Spiritual leadership in the entrepreneurial business : a multifaith study /		9781847208613 (e-book)							https://www.elgaronline.com/view/9781847203502.xml|https://doi.org/10.4337/9781847208613			Fernando, Mario,	eep9781847208613		fulltext		Edward Elgar,	Monograph		2007						P					
Foreign direct investment in Europe : a changing landscape /		9781847208798 (e-book)							https://www.elgaronline.com/view/9781847204875.xml|https://doi.org/10.4337/9781847208798				eep9781847208798		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
A theory of local entrepreneurship in the knowledge economy		9781847208750 (e-book)							https://www.elgaronline.com/view/9781847203885.xml|https://doi.org/10.4337/9781847208750			"Julien, Pierre-André."	eep9781847208750		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Contextual perspectives		9781847206985 (e-book)							https://www.elgaronline.com/view/9781847200594.xml|https://doi.org/10.4337/9781847206985				eep9781847206985		fulltext		Edward Elgar Pub.,	Monograph		    	v. 2					P					
A new generation in international strategic management		9781847208859 (e-book)							https://www.elgaronline.com/view/9781847200389.xml|https://doi.org/10.4337/9781847208859				eep9781847208859		fulltext		Edward Elgar,	Monograph		2007						P					
The digital business ecosystem		9781781009925 (e-book)							https://www.elgaronline.com/view/9781847200433.xml|https://doi.org/10.4337/9781781009925				eep9781781009925		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Human capital, inter-firm mobility and organizational evolution		9781847208835 (e-book)							https://www.elgaronline.com/view/9781845427573.xml|https://doi.org/10.4337/9781847208835			Pennings, Johannes M.	eep9781847208835		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Research companion to the dysfunctional workplace : management challenges and symptoms /		9781847207081 (e-book)							https://www.elgaronline.com/view/9781845429324.xml|https://doi.org/10.4337/9781847207081				eep9781847207081		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Women and minorities in science, technology, engineering and mathematics : upping the numbers /		9781847206879 (e-book)							https://www.elgaronline.com/view/9781845428884.xml|https://doi.org/10.4337/9781847206879				eep9781847206879		fulltext		Edward Elgar,	Monograph		2007						P					
Academic entrepreneurship in Europe		9781847205575 (e-book)							https://www.elgaronline.com/view/9781845426484.xml|https://doi.org/10.4337/9781847205575				eep9781847205575		fulltext		Edward Elgar,	Monograph		2007						P					
Entrepreneurship and the financial community : starting up and growing new businesses /		9781847204172 (e-book)							https://www.elgaronline.com/view/9781845426477.xml|https://doi.org/10.4337/9781847204172				eep9781847204172		fulltext		Edward Elgar,	Monograph		2007						P					
Entrepreneurship, competitiveness and local development : frontiers in European entrepreneurship research /		9781847208736 (e-book)							https://www.elgaronline.com/view/9781847203274.xml|https://doi.org/10.4337/9781847208736				eep9781847208736		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Adaptation or expiration in family firms : organizational flexibility in emerging economies /		9781847205421 (e-book)							https://www.elgaronline.com/view/9781845428341.xml|https://doi.org/10.4337/9781847205421			"Hatum, Andrés."	eep9781847205421		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Career choice in management and entrepreneurship : a research companion /		9781847208828 (e-book)							https://www.elgaronline.com/view/9781845428440.xml|https://doi.org/10.4337/9781847208828				eep9781847208828		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Knowledge management in developing economies : a cross-cultural and institutional approach /		9781847205445 (e-book)							https://www.elgaronline.com/view/9781845427863.xml|https://doi.org/10.4337/9781847205445				eep9781847205445		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
Organizations and the sustainability mosaic : crafting long-term ecological and societal solutions /		9781847205544 (e-book)							https://www.elgaronline.com/view/9781845426422.xml|https://doi.org/10.4337/9781847205544				eep9781847205544		fulltext		Edward Elgar,	Monograph		2007						P					
Transformational change in higher education : positioning colleges and universities for future success /		9781847208590 (e-book)							https://www.elgaronline.com/view/9781847202529.xml|https://doi.org/10.4337/9781847208590				eep9781847208590		fulltext		Edward Elgar,	Monograph		2007						P					
Entrepreneurship, cooperation and the firm : the emergence and survival of high-technology ventures in Europe /		9781847207227 (e-book)							https://www.elgaronline.com/view/9781845427092.xml|https://doi.org/10.4337/9781847207227				eep9781847207227		fulltext		Edward Elgar,	Monograph		2007						P					
Handbook of research on ethnic minority entrepreneurship : a co-evolutionary view on resource management /		9781847209962 (e-book)							https://www.elgaronline.com/view/9781845427337.xml|https://doi.org/10.4337/9781847209962				eep9781847209962		fulltext		Edward Elgar,	Monograph		2007						P					
Corporate culture and environmental practice : making change at a high-technology manufacturer /		9781847207043 (e-book)							https://www.elgaronline.com/view/9781847201003.xml|https://doi.org/10.4337/9781847207043			Howard-Grenville, Jennifer A.,	eep9781847207043		fulltext		Edward Elgar Pub.,	Monograph		2007						P					
MicroFranchising : creating wealth at the bottom of the pyramid /		9781847205360 (e-book)							https://www.elgaronline.com/view/9781847201089.xml|https://doi.org/10.4337/9781847205360				eep9781847205360		fulltext		Edward Elgar,	Monograph		2007						P					
Diversity in the knowledge economy and society : heterogeneity, innovation and entrepreneurship /		9781848441286 (e-book)							https://www.elgaronline.com/view/9781847202116.xml|https://doi.org/10.4337/9781848441286				eep9781848441286		fulltext		Edward Elgar,	Monograph		2008						P					
Japanese investment in the world economy : a study of strategic themes in the internationalisation of Japanese industry /		9781848442825 (e-book)							https://www.elgaronline.com/view/9781840642582.xml|https://doi.org/10.4337/9781848442825			Farrell, Roger.	eep9781848442825		fulltext		Edward Elgar,	Monograph		2008						P					
Handbook of critical information systems research : theory and application /		9781845426743 (e-book)							https://www.elgaronline.com/view/9781843764786.xml|https://doi.org/10.4337/9781845426743				eep9781845426743		fulltext		E. Elgar Pub.,	Monograph		2005						P					
Academic entrepreneurship : university spinoffs and wealth creation /		9781843769828 (e-book)							https://www.elgaronline.com/view/9781843764540.xml|https://doi.org/10.4337/9781843769828			Shane, Scott Andrew,	eep9781843769828		fulltext		Edward Elgar,	Monograph		2004						P					
Management buy-outs and venture capital : into the next millenium /		9781840647686 (e-book)							https://www.elgaronline.com/view/9781858989990.xml|https://doi.org/10.4337/9781840647686				eep9781840647686		fulltext		Edward Elgar Pub.,	Monograph		1999						P					
Entrepreneurship and organised crime : entrepreneurs in illegal business /		9781848447332 (e-book)							https://www.elgaronline.com/view/9781848443167.xml|https://doi.org/10.4337/9781848447332			Gottschalk, Petter,	eep9781848447332		fulltext		Edward Elgar,	Monograph		2009						P					
Organizations, markets and imperial formations : towards an anthropology of globalization /		9781848447226 (e-book)							https://www.elgaronline.com/view/9781848443174.xml|https://doi.org/10.4337/9781848447226				eep9781848447226		fulltext		Edward Elgar,	Monograph		2009						P					
Coopetition : winning strategies for the 21st century /		9781849807241 (e-book)							https://www.elgaronline.com/view/9781848443211.xml|https://doi.org/10.4337/9781849807241				eep9781849807241		fulltext		Edward Elgar,	Monograph		2010						P					
Business leadership and culture : national management styles in the global economy /		9781840647600 (e-book)							https://www.elgaronline.com/view/9781840641714.xml|https://doi.org/10.4337/9781840647600			"Bjerke, Björn,"	eep9781840647600		fulltext		Edward Elgar,	Monograph		1999						P					
The handbook of industrial innovation		9781781954201 (e-book)							https://www.elgaronline.com/view/9781852786557.xml|https://doi.org/10.4337/9781781954201				eep9781781954201		fulltext		Edward Elgar Pub.,	Monograph		1995						P					
The Elgar companion to consumer research and economic psychology		9781843768708 (e-book)							https://www.elgaronline.com/view/9781858985541.xml|https://doi.org/10.4337/9781843768708				eep9781843768708		fulltext		Edward Elgar Pub.,	Monograph		1999						P					
The economics of abundance : affluent consumption and the global economy /		9781849807159 (e-book)							https://www.elgaronline.com/view/9781843766704.xml|https://doi.org/10.4337/9781849807159			Sheehan, Brendan,	eep9781849807159		fulltext		Edward Elgar,	Monograph		2010						P					
Free trade in the Americas : economic and political issues for governments and firms /		9781845420666 (e-book)							https://www.elgaronline.com/view/9781843766674.xml|https://doi.org/10.4337/9781845420666				eep9781845420666		fulltext		Edward Elgar,	Monograph		2004						P					
Identity in the age of the new economy : life in temporary and scattered work practices /		9781845423445 (e-book)							https://www.elgaronline.com/view/9781843766391.xml|https://doi.org/10.4337/9781845423445				eep9781845423445		fulltext		Edward Elgar Publishing,	Monograph		2004						P					
Clusters and globalisation : the development of urban and regional economies /		9781847200136 (e-book)							https://www.elgaronline.com/view/9781843766759.xml|https://doi.org/10.4337/9781847200136				eep9781847200136		fulltext		Edward Elgar Pub.,	Monograph		2006						P					
Effectuation : elements of entrepreneurial expertise /		9781848440197 (e-book)							https://www.elgaronline.com/view/9781843766803.xml|https://doi.org/10.4337/9781848440197			Sarasvathy, Saras D.,	eep9781848440197		fulltext		Edward Elgar,	Monograph		2008						P					
Research companion to organizational health psychology		9781845423308 (e-book)							https://www.elgaronline.com/view/9781843766247.xml|https://doi.org/10.4337/9781845423308				eep9781845423308		fulltext		Edward Elgar,	Monograph		2005						P					
Handbook on small nations in the global economy : the contribution of multinational enterprises to national economic success /		9781849802390 (e-book)							https://www.elgaronline.com/view/9781843765929.xml|https://doi.org/10.4337/9781849802390				eep9781849802390		fulltext		Edward Elgar,	Monograph		2009						P					
The network society : a cross-cultural perspective /		9781845421663 (e-book)							https://www.elgaronline.com/view/9781843765059.xml|https://doi.org/10.4337/9781845421663				eep9781845421663		fulltext		Edward Elgar Pub.,	Monograph		2004						P					
Creative knowledge environments : the influences on creativity in research and innovation /		9781845421687 (e-book)							https://www.elgaronline.com/view/9781843765189.xml|https://doi.org/10.4337/9781845421687				eep9781845421687		fulltext		Northampton, Mass. :|Edward Elgar,	Monograph		2004						P					
Successful entrepreneurship : confronting economic theory with empirical practice /		9781845426880 (e-book)							https://www.elgaronline.com/view/9781843761617.xml|https://doi.org/10.4337/9781845426880			Praag, Mirjam van.	eep9781845426880		fulltext		Edward Elgar,	Monograph		2005						P					
Strategic business alliances : an examination of the core dimensions /		9781845420543 (e-book)							https://www.elgaronline.com/view/9781843761778.xml|https://doi.org/10.4337/9781845420543				eep9781845420543		fulltext		Edward Elgar,	Monograph		2004						P					
Handbook on responsible leadership and governance in global business		9781845425562 (e-book)							https://www.elgaronline.com/view/9781843766360.xml|https://doi.org/10.4337/9781845425562				eep9781845425562		fulltext		E. Elgar,	Monograph		2005						P					
Multinational firms' location and the new economic geography		9781845420628 (e-book)							https://www.elgaronline.com/view/9781843766544.xml|https://doi.org/10.4337/9781845420628				eep9781845420628		fulltext		Edward Elgar,	Monograph		2004						P					
Supporting women's career advancement : challenges and opportunities /		9781845423452 (e-book)							https://www.elgaronline.com/view/9781843766339.xml|https://doi.org/10.4337/9781845423452				eep9781845423452		fulltext		Edward Elgar,	Monograph		2005						P					
International entrepreneurship in small and medium size enterprises : orientation, environment and strategy /		9781845421557 (e-book)							https://www.elgaronline.com/view/9781843761945.xml|https://doi.org/10.4337/9781845421557				eep9781845421557		fulltext		Edward Elgar,	Monograph		2004						P					
The new Russian business leaders		9781845421595 (e-book)							https://www.elgaronline.com/view/9781843764991.xml|https://doi.org/10.4337/9781845421595				eep9781845421595		fulltext		Edward Elgar,	Monograph		2004						P					
Strategic alliances, mergers and acquisitions : the influence of culture on successful cooperation /		9781849805612 (e-book)							https://www.elgaronline.com/view/9781848443365.xml|https://doi.org/10.4337/9781849805612				eep9781849805612		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
Aging and working in the new economy : changing career structures in small IT firms /		9781849803441 (e-book)							https://www.elgaronline.com/view/9781848441774.xml|https://doi.org/10.4337/9781849803441				eep9781849803441		fulltext		Edward Elgar,	Monograph		2010						P					
Temporary organizations : prevalence, logic and effectiveness /		9781849802154 (e-book)							https://www.elgaronline.com/view/9781848440852.xml|https://doi.org/10.4337/9781849802154				eep9781849802154		fulltext		Edward Elgar,	Monograph		2009						P					
Handbook of managerial behavior and occupational health		9781848447219 (e-book)							https://www.elgaronline.com/view/9781848440951.xml|https://doi.org/10.4337/9781848447219				eep9781848447219		fulltext		Edward Elgar,	Monograph		2009						P					
Multinational enterprises and the challenge of sustainable development		9781849802215 (e-book)							https://www.elgaronline.com/view/9781848444133.xml|https://doi.org/10.4337/9781849802215				eep9781849802215		fulltext		Edward Elgar,	Monograph		2009						P					
The internationalisation of mobile telecommunications : strategic challenges in a global market /		9781848444911 (e-book)							https://www.elgaronline.com/view/9781848441118.xml|https://doi.org/10.4337/9781848444911			Curwen, Peter J.	eep9781848444911		fulltext		Edward Elgar,	Monograph		2008						P					
Ethics and organizational practice : questioning the moral foundations of management /		9781849805414 (e-book)							https://www.elgaronline.com/view/9781848441682.xml|https://doi.org/10.4337/9781849805414				eep9781849805414		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
Towards the third generation university : managing the university in transition /		9781848446182 (e-book)							https://www.elgaronline.com/view/9781848442160.xml|https://doi.org/10.4337/9781848446182			Wissema, J. G.	eep9781848446182		fulltext		Edward Elgar,	Monograph		2009						P					
Strategy making in a crisis : from analysis to imagination /		9781849805261 (e-book)							https://www.elgaronline.com/view/9781848442405.xml|https://doi.org/10.4337/9781849805261			Gibbert, Michael.	eep9781849805261		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
Cases in technological entrepreneurship : converting ideas into value /		9781848449312 (e-book)							https://www.elgaronline.com/view/9781848441866.xml|https://doi.org/10.4337/9781848449312				eep9781848449312		fulltext		Edward Elgar,	Monograph		2009						P					
Handbook of research in entrepreneurship education.		9781849806688 (e-book)							https://www.elgaronline.com/view/9781848440968.xml|https://doi.org/10.4337/9781849806688				eep9781849806688		fulltext		Edward Elgar,	Monograph		2010						P					
Seasons of a scholar : some personal reflections of an international business economist /		9781848444973 (e-book)							https://www.elgaronline.com/view/9781848441811.xml|https://doi.org/10.4337/9781848444973			Dunning, John H.	eep9781848444973		fulltext		Edward Elgar,	Monograph		2008						P					
Women in family business leadership roles : daughters on the stage /		9781781007785 (e-book)							https://www.elgaronline.com/view/9781848442153.xml|https://doi.org/10.4337/9781781007785			Barrett, Mary,	eep9781781007785		fulltext		Edward Elgar,	Monograph		2009						P					
Entrepreneurship and public policy		9781785362071 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781845421175/9781845421175.xml|https://doi.org/10.4337/9781785362071				eep9781785362071		fulltext		Elgar Research Collection,	Monograph		2010	19					P					
Intellectual property and business		9781785362095 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781847209115/9781847209115.xml|https://doi.org/10.4337/9781785362095				eep9781785362095		fulltext		Edward Elgar,	Monograph		2010	8					P					
Corporate governance and the business life cycle		9781785362187 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848442313/9781848442313.xml|https://doi.org/10.4337/9781785362187				eep9781785362187		fulltext		Edward Elgar Publishing Limited,	Monograph		2010						P					
Organizational effectiveness		9781785362156 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848441903/9781848441903.xml|https://doi.org/10.4337/9781785362156				eep9781785362156		fulltext		Edward Elgar,	Monograph		2010						P					
Corporate governance and business ethics		9781785362163 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848442009/9781848442009.xml|https://doi.org/10.4337/9781785362163				eep9781785362163		fulltext		Edward Elgar,	Monograph		2010	10					P					
Global entrepreneurship and development index 2012		9781781001158 (e-book)9780857935540 (e-book)							https://www.elgaronline.com/view/9781849808422.xml|https://doi.org/10.4337/9780857935540			"Ács, Zoltán J."	eep9780857935540		fulltext		Edward Elgar,	Monograph		2011						P					
Economics of public international law		9781785362194 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848442337/9781848442337.xml|https://doi.org/10.4337/9781785362194				eep9781785362194		fulltext		Edward Elgar Publishing Limited,	Monograph		2010						P					
The knowledge spillover theory of entrepreneurship		9781785362200 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848442351/9781848442351.xml|https://doi.org/10.4337/9781785362200				eep9781785362200		fulltext		Edward Elgar Publishing Limited,	Monograph		2010	18					P					
Strategy process		9781785362217 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848442603/9781848442603.xml|https://doi.org/10.4337/9781785362217				eep9781785362217		fulltext		Edward Elgar Publishing Limited,	Monograph		2010	2					P					
Women and management		9781785362224 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848443266/9781848443266.xml|https://doi.org/10.4337/9781785362224				eep9781785362224		fulltext		Edward Elgar Publishing Limited,	Monograph		2010	14					P					
Stakeholders		9781785362316 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848447806/9781848447806.xml|https://doi.org/10.4337/9781785362316				eep9781785362316		fulltext		Edward Elgar,	Monograph		2010						P					
Entrepreneurship and regional development		9781785362323 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781848449787/9781848449787.xml|https://doi.org/10.4337/9781785362323				eep9781785362323		fulltext		Edward Elgar,	Monograph		2010	16					P					
Handbook of microcredit in Europe : social inclusion through microenterprise development /		9781849805308 (e-book)							https://www.elgaronline.com/view/9781848441941.xml|https://doi.org/10.4337/9781849805308				eep9781849805308		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
Towards effective place brand management : branding European cities and regions /		9781849806398 (e-book)							https://www.elgaronline.com/view/9781848442429.xml|https://doi.org/10.4337/9781849806398				eep9781849806398		fulltext		Edward Elgar,	Monograph		2010						P					
Economic advice and rhetoric : why do consultants perform better than academic advisers? /		9781849805117 (e-book)							https://www.elgaronline.com/view/9781848442634.xml|https://doi.org/10.4337/9781849805117			Bouwmeester, Onno.	eep9781849805117		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
Creating ecological value : an evolutionary approach to business strategies and the natural environment /		9781849801881 (e-book)							https://www.elgaronline.com/view/9781847209726.xml|https://doi.org/10.4337/9781849801881			Boons, Frank.	eep9781849801881		fulltext		Edward Elgar,	Monograph		2009						P					
Learning to compete in European universities : from social institution to knowledge business /		9781848446106 (e-book)							https://www.elgaronline.com/view/9781848440012.xml|https://doi.org/10.4337/9781848446106				eep9781848446106		fulltext		Edward Elgar,	Monograph		2009						P					
SMEs in a globalised world : survival and growth strategies on Europe's geographical periphery /		9781849805353 (e-book)							https://www.elgaronline.com/view/9781848440098.xml|https://doi.org/10.4337/9781849805353				eep9781849805353		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
An introduction to social entrepreneurship : voices, preconditions, contexts /		9781848446229 (e-book)							https://www.elgaronline.com/view/9781848443068.xml|https://doi.org/10.4337/9781848446229				eep9781848446229		fulltext		Edward Elgar,	Monograph		2009						P					
Self-management and leadership development		9781849805551 (e-book)							https://www.elgaronline.com/view/9781848443235.xml|https://doi.org/10.4337/9781849805551				eep9781849805551		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
The entrepreneur as business leader : cognitive leadership in the firm /		9781848449398 (e-book)							https://www.elgaronline.com/view/9781848443334.xml|https://doi.org/10.4337/9781848449398			Scheer, Silke.	eep9781848449398		fulltext		Edward Elgar,	Monograph		2009						P					
Global skill shortages		9781843765394 (e-book)							https://www.elgaronline.com/view/9781840645200.xml|https://doi.org/10.4337/9781843765394			Cohen, Malcolm S.	eep9781843765394		fulltext		Edward Elgar,	Monograph		2002						P					
Global human resource management : managing people in developing and transitional countries /		9781781950104 (e-book)							https://www.elgaronline.com/view/9781840645293.xml|https://doi.org/10.4337/9781781950104			McCourt, Willy.	eep9781781950104		fulltext		Edward Elgar Pub.,	Monograph		2003						P					
Evaluation and performance measurement of research and development : techniques and perspectives for multi-level analysis /		9781849801942 (e-book)							https://www.elgaronline.com/view/9781847209481.xml|https://doi.org/10.4337/9781849801942			Chiesa, Vittorio,	eep9781849801942		fulltext		Edward Elgar,	Monograph		2009						P					
Handbook of research on high-technology entrepreneurs		9781849805384 (e-book)							https://www.elgaronline.com/view/9781847209498.xml|https://doi.org/10.4337/9781849805384				eep9781849805384		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
Historical foundations of entrepreneurship research		9781849806947 (e-book)							https://www.elgaronline.com/view/9781847209191.xml|https://doi.org/10.4337/9781849806947				eep9781849806947		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
A cognitive theory of the firm : learning, governance and dynamic capabilities /		9781848447424 (e-book)							https://www.elgaronline.com/view/9781848442108.xml|https://doi.org/10.4337/9781848447424			Nooteboom, B.	eep9781848447424		fulltext		Edward Elgar,	Monograph		2009						P					
Making inclusion work : experiences from academia around the world /		9781849806862 (e-book)							https://www.elgaronline.com/view/9781848440845.xml|https://doi.org/10.4337/9781849806862				eep9781849806862		fulltext		Edward Elgar Pub.,	Monograph		2010						P					
Rethinking leadership : a new look at old leadership questions /		9781849805346 (e-book)							https://www.elgaronline.com/view/9781847209351.xml|https://doi.org/10.4337/9781849805346			Ladkin, Donna Marie.	eep9781849805346		fulltext		Edward Elgar,	Monograph		2010						P					
Entrepreneurship and the creation of small firms : empirical studies of new ventures /		9781781000588 (e-book)							https://www.elgaronline.com/view/9781848440418.xml|https://doi.org/10.4337/9781781000588				eep9781781000588		fulltext		Edward Elgar,	Monograph		2010						P					
Corporate social responsibility : a case study approach /		9781849802192 (e-book)							https://www.elgaronline.com/view/9781848440432.xml|https://doi.org/10.4337/9781849802192				eep9781849802192		fulltext		Edward Elgar,	Monograph		2009						P					
Handbook of research on strategy process		9781849807289 (e-book)							https://www.elgaronline.com/view/9781848440449.xml|https://doi.org/10.4337/9781849807289				eep9781849807289		fulltext		Edward Elgar,	Monograph		2010						P					
Entrepreneurship and regional development : local processes and global patterns /		9781781000793 (e-book)							https://www.elgaronline.com/view/9781847209320.xml|https://doi.org/10.4337/9781781000793				eep9781781000793		fulltext		Edward Elgar,	Monograph		2010						P					
International handbook of maritime business		9781849806619 (e-book)							https://www.elgaronline.com/view/9781847209344.xml|https://doi.org/10.4337/9781849806619				eep9781849806619		fulltext		Edward Elgar,	Monograph		2010						P					
Meta-organizations		9781848442658 (e-book)							https://www.elgaronline.com/view/9781847209504.xml|https://doi.org/10.4337/9781848442658			"Ahrne, Göran,"	eep9781848442658		fulltext		Edward Elgar,	Monograph		2008						P					
Entrepreneurship research in Europe : outcomes and perspectives /		9781845424572 (e-book)							https://www.elgaronline.com/view/9781843765998.xml|https://doi.org/10.4337/9781845424572				eep9781845424572		fulltext		Edward Elgar,	Monograph		2005						P					
The quest for moral leaders : essays on leadership ethics /		9781845427993 (e-book)							https://www.elgaronline.com/view/9781845425340.xml|https://doi.org/10.4337/9781845427993				eep9781845427993		fulltext		Edward Elgar,	Monograph		2005						P					
